slug,latin_name,common_name,category,family,genus,taxon_group,observations_count
crocallis-elinguaria,Crocallis elinguaria,Scalloped Oak,insect,Geometridae,Crocallis,8,11
eupatorium-cannabinum,Eupatorium cannabinum,Hemp-agrimony,plant,Asteraceae,Eupatorium,10,11
graphosoma-italicum,Graphosoma italicum,Striped shield bug,insect,Pentatomidae,Graphosoma,15,11
gymnoscelis-rufifasciata,Gymnoscelis rufifasciata,Double-striped Pug,insect,Geometridae,Gymnoscelis,8,11
hirundo-rustica,Hirundo rustica,Barn Swallow,bird,Hirundinidae,Hirundo,1,11
hylaeus-communis,Hylaeus communis,Common Yellow-face Bee,insect,Colletidae,Hylaeus,17,11
leucanthemum-vulgare,Leucanthemum vulgare,Oxeye Daisy,plant,Asteraceae,Leucanthemum,10,11
lotus-pedunculatus,Lotus pedunculatus,Greater Bird's-foot-trefoil,plant,Fabaceae,Lotus,10,11
magnoliopsida,Magnoliopsida,Dicots,plant,"","",Plantae,11
oryctolagus-cuniculus,Oryctolagus cuniculus,European Rabbit,mammal,Leporidae,Oryctolagus,2,11
phasianus-colchicus,Phasianus colchicus,Common Pheasant,bird,Phasianidae,Phasianus,1,11
philoscia-muscorum,Philoscia muscorum,Common Striped Woodlouse,insect,Philosciidae,Philoscia,13,11
pyrrhocoris-apterus,Pyrrhocoris apterus,Firebug,insect,Pyrrhocoridae,Pyrrhocoris,15,11
rhinophora-lepida,Rhinophora lepida,"",insect,Calliphoridae,Rhinophora,18,11
textrix-denticulata,Textrix denticulata,Toothed Weaver,arachnid,Agelenidae,Textrix,13,11
thereva-nobilitata,Thereva nobilitata,"",insect,Therevidae,Thereva,18,11
apterogenum-ypsillon,Apterogenum ypsillon,Dingy Shears,insect,Noctuidae,Apterogenum,8,10
bufo-bufo,Bufo bufo,Common Toad,amphibian,Bufonidae,Bufo,3,10
cepaea-nemoralis,Cepaea nemoralis,Brown-lipped Snail,mollusc,Helicidae,Cepaea,7,10
cornus-sanguinea,Cornus sanguinea,Dogwood,plant,Cornaceae,Cornus,10,10
dianthus-deltoides,Dianthus deltoides,Maiden Pink,plant,Caryophyllaceae,Dianthus,10,10
enoplognatha-ovata-latimana,Enoplognatha ovata/latimana,"",arachnid,Theridiidae,Enoplognatha,13,10
eristalis-horticola,Eristalis horticola,Stripe-winged Drone Fly,insect,Syrphidae,Cheilosia,18,10
heracleum-sphondylium,Heracleum sphondylium,Hogweed,plant,Apiaceae,Heracleum,10,10
leptophyes-punctatissima,Leptophyes punctatissima,Speckled Bush-cricket,insect,Tettigoniidae,Leptophyes,14,10
malva-moschata,Malva moschata,Musk-mallow,plant,Malvaceae,Malva,10,10
medicago-lupulina,Medicago lupulina,Black Medick,plant,Fabaceae,Medicago,10,10
panorpa-germanica,Panorpa germanica,German Scorpionfly,insect,Panorpidae,Panorpa,6,10
phlomis-russeliana,Phlomis russeliana,Turkish Sage,plant,Lamiaceae,Phlomis,Plantae,10
pisaura-mirabilis,Pisaura mirabilis,Nursery-web Spider,arachnid,Pisauridae,Pisaura,13,10
platyedra-subcinerea,Platyedra subcinerea,"",insect,Gelechiidae,Platyedra,8,10
procambarus-clarkii,Procambarus clarkii,Red Swamp Crayfish,insect,Cambaridae,Procambarus,13,10
schoenobius-gigantella,Schoenobius gigantella,"",insect,Crambidae,Schoenobius,8,10
silene-latifolia,Silene latifolia,White Campion,plant,Caryophyllaceae,Silene,10,10
sonchus-asper,Sonchus asper,Prickly Sow-thistle,plant,Asteraceae,Sonchus,10,10
sphaerophoria-scripta,Sphaerophoria scripta,Common Globetail,insect,Syrphidae,Sphaerophoria,18,10
tragopogon-pratensis,Tragopogon pratensis,Goat's-beard,plant,Asteraceae,Tragopogon,10,10
anas-platyrhynchos-domesticus,Anas platyrhynchos domesticus,Domestic Mallard,bird,Anatidae,Anas,Aves,9
anas-platyrhynchos-f-domesticus,Anas platyrhynchos f. domesticus,Domestic Duck,bird,Anatidae,Anas,1,9
ancylis-achatana,Ancylis achatana,"",insect,Tortricidae,Ancylis,8,9
anthidium-manicatum,Anthidium manicatum,Common Wool Carder Bee,insect,Megachilidae,Anthidium,17,9
anthomyia-procellaris,Anthomyia procellaris,"",insect,Anthomyiidae,Anthomyia,18,9
bellis-perennis,Bellis perennis,Common Daisy,plant,Asteraceae,Bellis,10,9
caltha-palustris,Caltha palustris,Marsh-marigold,plant,Ranunculaceae,Caltha,10,9
chrysolina-americana,Chrysolina americana,Rosemary Beetle,insect,Chrysomelidae,Chrysolina,16,9
chrysopilus-cristatus,Chrysopilus cristatus,Black Snipefly,insect,Rhagionidae,Chrysopilus,18,9
dasypoda-hirtipes,Dasypoda hirtipes,Pantaloon Bee,insect,Melittidae,Dasypoda,17,9
diplotaxis-tenuifolia,Diplotaxis tenuifolia,Perennial Wall-rocket,plant,Brassicaceae,Diplotaxis,10,9
epipactis-helleborine,Epipactis helleborine,Broad-leaved Helleborine,plant,Orchidaceae,Epipactis,10,9
erigeron-canadensis,Erigeron canadensis,Canadian Fleabane,plant,Asteraceae,Erigeron,10,9
fraxinus-excelsior,Fraxinus excelsior,Ash,plant,Oleaceae,Fraxinus,10,9
geranium-molle,Geranium molle,Dove's-foot Crane's-bill,plant,Geraniaceae,Geranium,10,9
hedya-salicella,Hedya salicella,"",insect,Tortricidae,Hedya,8,9
heterocera-indet,Heterocera indet.,Unidentified Moth,insect,Noctuidae,Heterocera,8,9
