slug,latin_name,taxon_group,family,genus,observations_count
deraeocoris-trifasciatus,Deraeocoris trifasciatus,15,Miridae,Deraeocoris,1
dexiosoma-caninum,Dexiosoma caninum,18,Tachinidae,Dexiosoma,1
dichetophora-obliterata,Dichetophora obliterata,18,Sciomyzidae,Dichetophora,1
dichrooscytus-intermedius,Dichrooscytus intermedius,15,Miridae,Dichrooscytus,1
dichrooscytus-rufipennis,Dichrooscytus rufipennis,15,Miridae,Dichrooscytus,1
dicyphus-globulifer,Dicyphus globulifer,15,Miridae,Dicyphus,1
dolichopus,Dolichopus,Insecta,"","",1
dolichopus-lepidus,Dolichopus lepidus,18,Dolichopodidae,Dolichopus,1
dolichopus-plumipes,Dolichopus plumipes,18,Dolichopodidae,Dolichopus,1
donacia-clavipes,Donacia clavipes,16,Chrysomelidae,Donacia,1
eccopisa-effractella,Eccopisa effractella,8,Pyralidae,Eccopisa,1
ectemnius-sexcinctus,Ectemnius sexcinctus,17,Crabronidae,Ectemnius,1
ectopsocus,Ectopsocus,Insecta,Ectopsocidae,Ectopsocus,1
ectopsocus-briggsi,Ectopsocus briggsi,6,Ectopsocidae,Ectopsocus,1
encyrtidae-indet,Encyrtidae indet.,17,Encyrtidae,"",1
enoplognatha,Enoplognatha,Arachnida,Theridiidae,Enoplognatha,1
erigone,Erigone,Arachnida,Linyphiidae,Erigone,1
erodium-trifolium,Erodium trifolium,10,Geraniaceae,Erodium,1
erysimum-bicolor,Erysimum bicolor,10,Brassicaceae,Erysimum,1
erysiphe-sensu-lato,Erysiphe sensu lato,11,Erysiphaceae,Erysiphe,1
ethmia-terminella,Ethmia terminella,8,Ethmiidae,Ethmia,1
eumerus-spec,Eumerus spec.,18,"","",1
euphorbia-amygdaloides-subsp-robbiae,Euphorbia amygdaloides subsp. robbiae,10,Euphorbiaceae,Euphorbia,1
eupterycyba-jucunda,Eupterycyba jucunda,15,Cicadellidae,Eupterycyba,1
eupteryx-florida,Eupteryx florida,15,Cicadellidae,Eupteryx,1
eurylabus-spec,Eurylabus spec.,17,Ichneumonidae,Eurylabus,1
eustalomyia-hilaris,Eustalomyia hilaris,18,Anthomyiidae,Eustalomyia,1
