slug,latin_name,taxon_group
betulapion-simile,Betulapion simile,16
bjerkandera-adusta,Bjerkandera adusta,11
bledius-spec,Bledius spec.,16
boletus-erythropus,Boletus erythropus,11
boletus-luridus,Boletus luridus,11
borkhausenia-fuscescens,Borkhausenia fuscescens,8
brassicaceae-indet,Brassicaceae indet.,10
brassiceae,Brassiceae,Plantae
bryotropha-basaltinella,Bryotropha basaltinella,8
byturus-spec,Byturus spec.,16
caloptilia-spec,Caloptilia spec.,8
candelariella-vitellina,Candelariella vitellina,12
cantharis,Cantharis,Insecta
cantharis-flavilabris,Cantharis flavilabris,Insecta
carpocoris-spec,Carpocoris spec.,15
caryocolum-fischerella,Caryocolum fischerella,8
celypha-siderana,Celypha siderana,8
chaoborus-spec,Chaoborus spec.,18
cheilosia-spec,Cheilosia spec.,18
chirosia-betuleti,Chirosia betuleti,18
chlorophyllum-rhacodes,Chlorophyllum rhacodes,11
choreutis-nemorana,Choreutis nemorana,8
chromatomyia-spinaciae,Chromatomyia spinaciae,18
chromatomyia-syngenesiae,Chromatomyia syngenesiae,18
chrysops-relictus,Chrysops relictus,18
chyromyidae-indet,Chyromyidae indet.,18
cladonia-coniocraea,Cladonia coniocraea,12
clivina-fossor,Clivina fossor,16
cnephasia-spec,Cnephasia spec.,8
cnephasia-stephensiana,Cnephasia stephensiana,8
coccinella,Coccinella,Insecta
cochylidia-rupicola,Cochylidia rupicola,8
coenagrion-spec,Coenagrion spec.,5
coenosia-spec,Coenosia spec.,18
colomerus-vitis,Colomerus vitis,13
coniopterygidae-indet,Coniopterygidae indet.,6
coniopteryx-spec,Coniopteryx spec.,6
conwentzia-psociformis,Conwentzia psociformis,6
coprinellus-micaceus-sl-incl-pallidissimus-saccharinus-truncorum,"Coprinellus micaceus sl, incl. pallidissimus, saccharinus, truncorum",11
coprinopsis-atramentaria,Coprinopsis atramentaria,11
coprinopsis-lagopus,Coprinopsis lagopus,11
coprinus-spec,Coprinus spec.,11
coranus-spec,Coranus spec.,15
cordylepherus-viridis,Cordylepherus viridis,16
crambus-lathoniellus,Crambus lathoniellus,8
crataerina-pallida,Crataerina pallida,18
cremnops-desertor,Cremnops desertor,17
crossocerus-annulipes,Crossocerus annulipes,17
crossocerus-binotatus,Crossocerus binotatus,17
crossocerus-spec,Crossocerus spec.,17
cryptinae-indet,Cryptinae indet.,17
cryptocephalus-spec,Cryptocephalus spec.,16
