slug,latin_name,taxon_group,common_name,observations_count
tragopogon-pratensis-subsp-orientalis,Tragopogon pratensis subsp. orientalis,10,Oriental Salsify,7
triticum-aestivum,Triticum aestivum,10,Bread Wheat,7
vespa-velutina,Vespa velutina,17,Asian Hornet,7
acanthus-mollis,Acanthus mollis,10,Bear's-breech,6
acleris-hastiana,Acleris hastiana,8,"",6
acrocephalus-palustris,Acrocephalus palustris,1,Marsh Warbler,6
agapanthia-villosoviridescens,Agapanthia villosoviridescens,16,Golden-bloomed Grey Longhorn,6
aglais-io,Aglais io,4,Peacock,6
alliaria-petiolata,Alliaria petiolata,10,garlic mustard,6
anthrenus-verbasci,Anthrenus verbasci,16,Varied carpet beetle,6
arion-rufus-vulgaris,Arion rufus/vulgaris,7,"",6
athous-haemorrhoidalis,Athous haemorrhoidalis,16,Common Brown Click Beetle,6
betula-pendula,Betula pendula,10,Silver Birch,6
bucculatrix-cidarella,Bucculatrix cidarella,8,"",6
buddleja-davidii,Buddleja davidii,Plantae,Butterfly bush,6
buteo-buteo,Buteo buteo,1,Common Buzzard,6
campanula-rapunculus,Campanula rapunculus,10,Rampion Bellflower,6
centranthus-ruber,Centranthus ruber,10,Red Valerian,6
ciconia-ciconia-ciconia,Ciconia ciconia ciconia,Aves,European White Stork,6
cydalima-perspectalis,Cydalima perspectalis,8,Box-tree Moth,6
cymbalaria-muralis,Cymbalaria muralis,10,Ivy-leaved Toadflax,6
dipsacus-fullonum,Dipsacus fullonum,10,Wild Teasel,6
eristalis-intricaria,Eristalis intricaria,18,Furry Drone Fly,6
eumenes-spec,Eumenes spec.,17,"",6
euphorbia-peplus,Euphorbia peplus,10,Petty Spurge,6
ganoderma-adspersum,Ganoderma adspersum,11,Southern Bracket,6
hedera-helix,Hedera helix,10,Ivy,6
helophilus-pendulus,Helophilus pendulus,18,Tiger Marsh Fly,6
hypomecis-punctinalis,Hypomecis punctinalis,8,Pale Oak Beauty,6
lauxaniidae-indet,Lauxaniidae indet.,18,"",6
leptoceridae-indet,Leptoceridae indet.,6,"",6
liocoris-tripustulatus,Liocoris tripustulatus,15,"",6
macaroeris-nidicolens,Macaroeris nidicolens,13,"",6
megachile-centuncularis,Megachile centuncularis,17,Patchwork Leafcutter Bee,6
mompha-subbistrigella,Mompha subbistrigella,8,Garden Mompha,6
myosotis-arvensis,Myosotis arvensis,10,Field Forget-me-not,6
mythimna-straminea,Mythimna straminea,8,Southern Wainscot,6
nepeta-racemosa,Nepeta racemosa,10,Eastern Cat-mint,6
nuctenea-umbratica,Nuctenea umbratica,13,Walnut Orbweaver Spider,6
ophrys-apifera,Ophrys apifera,Plantae,Bee Orchid,6
orobanche-hederae,Orobanche hederae,10,Ivy Broomrape,6
parastichtis-suspecta,Parastichtis suspecta,8,Suspected,6
petasites-hybridus,Petasites hybridus,10,Butterbur,6
philanthus-triangulum,Philanthus triangulum,17,European Bee Wolf,6
picus-viridis,Picus viridis,1,European Green Woodpecker,6
platalea-leucorodia,Platalea leucorodia,1,Eurasian Spoonbill,6
plodia-interpunctella,Plodia interpunctella,8,Indian-Meal Moth,6
salix-alba,Salix alba,10,White Willow,6
scoparia-eudonia-spec,Scoparia/Eudonia spec.,8,"",6
sinapis-arvensis,Sinapis arvensis,10,Charlock,6
solanum-nigrum,Solanum nigrum,10,Black Nightshade,6
syrphus-spec,Syrphus spec.,18,"",6
talpa-europaea,Talpa europaea,2,European Mole,6
trichius-gallicus-gallicus,Trichius gallicus gallicus,16,"",6
tritomegas-bicolor,Tritomegas bicolor,15,Pied Shieldbug,6
accipiter-nisus,Accipiter nisus,1,Eurasian Sparrowhawk,5
aglossa-caprealis,Aglossa caprealis,8,"",5
